ID,ch,Study Area,AgeClass,Sex,DS,CS,CT
160,1010101100000000,B,Juvenile,Male,0.159858783,-3.374298051,-0.465095497
161,1011000000000000,B,Adult,Female,-0.377216089,1.895350955,0.892150115
162,1010101010110000,B,Juvenile,Female,0.32577315,-0.49098074,-1.058078352
163,1011000000000000,B,Juvenile,Female,-0.875604861,1.059022486,-0.913563117
164,1010101010101011,B,Juvenile,Female,1.630169988,0.227486862,-0.621379743
165,1010110000000000,B,Adult,Male,1.418078251,2.093919001,-2.169219994
166,1010110000000000,B,Juvenile,Male,-0.827461178,0.738340669,0.98000932
167,1010110000000000,B,Juvenile,Female,-0.364983799,1.621526528,1.514089388
168,1010101010101100,B,Adult,Male,-0.773151447,-0.269727737,0.384657813
169,1010110000000000,B,Adult,Female,1.018109318,-0.442592304,0.624580832
170,1010101010101011,B,Juvenile,Female,0.740435679,0.861296789,-0.246515411
171,1010101010101011,B,Juvenile,Female,-1.541802607,-2.035185162,0.117918469
172,1010110000000000,B,Juvenile,Female,-0.316684511,-1.409380391,-1.280619415
173,1010101011000000,B,Adult,Male,0.126477766,0.621035861,1.210620208
174,1010101010101100,B,Adult,Female,0.163998464,-0.570146071,0.363213839
175,1010101010101100,B,Adult,Female,1.250438925,-1.819927012,-0.469303484
176,1010101010101010,B,Juvenile,Male,-0.46980734,-1.119556495,-1.200066447
177,1011000000000000,B,Juvenile,Female,0.520919127,0.260904361,-0.371741263
178,1010101010101100,C,Adult,Male,-0.984533466,0.797792927,0.926694578
179,1010101010101010,C,Adult,Male,0.302245533,0.496612194,-2.084148461
180,1100000000000000,C,Adult,Male,-1.450774672,1.84685481,-0.223018362
181,1010101010101100,C,Juvenile,Male,0.678936452,-0.646429168,-1.254721077
182,1010101010101010,C,Juvenile,Male,-0.337220024,-1.287274679,-1.857132364
183,1010101010101010,C,Adult,Male,0.825218765,0.722075342,0.773561076
184,1010101010101100,C,Adult,Female,2.292453596,1.06480204,0.075858345
185,1100000000000000,C,Juvenile,Male,-0.472201433,0.224838163,1.069309425
186,1010101010101010,C,Adult,Male,-2.503194231,-0.115976501,-3.263354496
187,1010101010110000,C,Adult,Female,0.36385211,-1.016030271,-0.687471608
188,1010101011000000,C,Juvenile,Male,-0.884619674,-1.485451282,0.625245837
